"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"br-core-allergy-intolerance","AllergyIntolerance.patient.reference","AllergyIntolerance.patient.reference","","","",1,1,"Y","","Y","string {[]} {[]}
","Referência literal, URL relativa, interna ou absoluta","Referência literal, URL relativa, interna ou absoluta","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.patient.type","AllergyIntolerance.patient.type","","","",0,1,"","","Y","uri {[]} {[]}
","Tipo ao qual a referência se refere (por exemplo: Paciente).","Tipo ao qual a referência se refere (por exemplo: Paciente).","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a RESTful URL) or by resolving the target of the reference; if both the type and a reference is provided, the reference SHALL resolve to a resource of the same type as that specified.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.patient.identifier","AllergyIntolerance.patient.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Referência lógica, quando a referência literal não é conhecida.","Referência lógica, quando a referência literal não é conhecida.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.patient.display","AllergyIntolerance.patient.display","","","",0,1,"","","Y","string {[]} {[]}
","Texto alternativo para o recurso.","Texto alternativo para o recurso.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.encounter","AllergyIntolerance.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Quando a alergia ou intolerância foi afirmada","Quando a alergia ou intolerância foi afirmada","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.onset[x]","AllergyIntolerance.onset[x]","","","",0,1,"Y","","","dateTime {[]} {[]}
Age {[]} {[]}Period {[]} {[]}Range {[]} {[]}string {[]} {[]}","Quando a alergia ou a intolerância foi identificada","Quando a alergia ou a intolerância foi identificada","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.onset[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.recordedDate","AllergyIntolerance.recordedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Data em que a primeira versão da instância do recurso foi registrada.","Data em que a primeira versão da instância do recurso foi registrada.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.recordedDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.recorder","AllergyIntolerance.recorder","","Author
","",0,1,"","","","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitioner], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitioner-role], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","Quem registrou a sensibilidade.","Quem registrou a sensibilidade.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.recorder",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.asserter","AllergyIntolerance.asserter","","Source
Informant","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitioner], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitioner-role], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","Fonte da informação sobre a alergia.","Fonte da informação sobre a alergia.","The recorder takes responsibility for the content, but can reference the source from where they got it.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.asserter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.lastOccurrence","AllergyIntolerance.lastOccurrence","","","",0,1,"","","","dateTime {[]} {[]}
","Data (/hora) da última ocorrência conhecida de uma reação.","Data (/hora) da última ocorrência conhecida de uma reação.","This date may be replicated by one of the Onset of Reaction dates. Where a textual representation of the date of last occurrence is required e.g. 'In Childhood, '10 years ago' the Comment element should be used.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.lastOccurrence",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.note","AllergyIntolerance.note","","","",0,*,"","","","Annotation {[]} {[]}
","Texto adicional não capturado em outros campos.","Texto adicional não capturado em outros campos..","For example: including reason for flagging a seriousness of 'High Risk'; and instructions related to future exposure or administration of the substance, such as administration within an Intensive Care Unit or under corticosteroid cover. The notes should be related to an allergy or intolerance as a condition in general and not related to any particular episode of it. For episode notes and descriptions, use AllergyIntolerance.event.description and  AllergyIntolerance.event.notes.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.reaction","AllergyIntolerance.reaction","","","",0,*,"Y","","","BackboneElement {[]} {[]}
","Eventos de reação adversa relacionados à exposição da substância","Eventos de reação adversa relacionados à exposição da substância","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.reaction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.reaction.id","AllergyIntolerance.reaction.id","","","",0,1,"","","","string {[]} {[]}
","ID exclusivo para referência entre elementos.","ID exclusivo para referência entre elementos.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"br-core-allergy-intolerance","AllergyIntolerance.reaction.extension","AllergyIntolerance.reaction.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões que não podem ser ignoradas mesmo que não sejam reconhecidas.","Extensões que não podem ser ignoradas mesmo que não sejam reconhecidas.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"br-core-allergy-intolerance","AllergyIntolerance.reaction.modifierExtension","AllergyIntolerance.reaction.modifierExtension","","","",0,*,"","Y","Y","Extension {[]} {[]}
","Conteúdo adicional definido por implementações.","Conteúdo adicional definido por implementações.","","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"br-core-allergy-intolerance","AllergyIntolerance.reaction.substance","AllergyIntolerance.reaction.substance","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Substância específica ou produto farmacêutico considerado responsável pelo evento.","Substância específica ou produto farmacêutico considerado responsável pelo evento.","Coding of the specific substance (or pharmaceutical product) with a terminology capable of triggering decision support should be used wherever possible.  The 'code' element allows for the use of a specific substance or pharmaceutical product, or a group or class of substances. In the case of an allergy or intolerance to a class of substances, (for example, ""penicillins""), the 'reaction.substance' element could be used to code the specific substance that was identified as having caused the reaction (for example, ""amoxycillin""). Duplication of the value in the 'code' and 'reaction.substance' elements is acceptable when a specific substance has been recorded in 'code'.","","","","","","","","",,"example","Codes defining the type of the substance (including pharmaceutical products).","http://hl7.org/fhir/ValueSet/substance-code","",,,,"AllergyIntolerance.reaction.substance",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-allergy-intolerance","AllergyIntolerance.reaction.manifestation","AllergyIntolerance.reaction.manifestation","","","",1,*,"Y","","","CodeableConcept {[CanonicalType[http://hl7.org/fhir/uv/ips/StructureDefinition/CodeableConcept-uv-ips]]} {[]}
","Código para a manifestação de reação de alergia ou intolerância do subconjunto SNOMED International Patient Set (IPS) do SNOMED CT (IPS Free Set).","Código para a manifestação de reação de alergia ou intolerância do subconjunto SNOMED IPS do SNOMED CT (IPS Free Set).","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.","","","","","","","","",,"required","","http://www.saude.gov.br/fhir/r4/ValueSet/BRReacoesAdversasMedDRA-1.0","",,,,"AllergyIntolerance.reaction.manifestation",1,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
